ORF_ID	FC_U	FC_T
ENST00000005558.8_112423354_112450620_192	11.3653368977366	-10.7189700599481
ENST00000005558.8_112423430_112450642_138	11.3070922326972	-10.7189700599481
ENST00000013125.8_50532454_50532522_69	16.6380377771634	-11.5003750553943
ENST00000066544.7_47189185_47189250_66	17.6989900837331	-11.8658926727778
ENST00000085079.11_55675313_55675393_81	15.6895882522838	-10.7795473982557
ENST00000085079.11_55675333_55675422_90	17.4216404764463	-10.7795473982557
ENST00000156471.9_34964283_34969638_108	18.8538917581925	-11.9427309037345
ENST00000156471.9_34969547_34969684_138	17.4759466737979	-11.9427309037345
ENST00000160827.8_29790746_29796910_102	12.9417636125859	-11.1233202349764
ENST00000188312.6_100200775_100200852_78	16.4918699630076	-10.621331312542
ENST00000201031.2_56629306_56629404_99	17.1519294436041	-11.0664686778183
ENST00000212015.10_67884709_67884894_186	15.798343032643	-11.1688243508939
ENST00000216194.11_40346537_40346647_111	18.325533848081	-11.2656065917194
ENST00000216254.8_41469128_41499799_129	11.553828802221	-11.2953784555753
ENST00000216277.12_96502393_96520128_282	30.0	-24.4688421300833
ENST00000216277.12_96502475_96502564_90	24.4102907817679	-24.4688421300833
ENST00000216277.12_96502568_96520147_126	24.1057999781293	-24.4688421300833
ENST00000217233.7_380896_388075_339	30.0	-8.3748459053566
ENST00000217233.7_381150_388083_93	30.0	-8.3748459053566
ENST00000218089.13_123960530_123960781_252	18.9768322900024	-13.141985825726
ENST00000218089.13_123960741_124021381_141	13.273174953207	-13.141985825726
ENST00000218089.13_123960815_124021410_96	12.0346591272286	-13.141985825726
ENST00000218089.13_124021385_124022582_99	19.2189463300369	-13.141985825726
ENST00000218200.12_147911962_147921939_276	10.9808600992687	-10.5977611458222
ENST00000220592.9_140585254_140635603_177	16.42406988029	-11.3184661401572
ENST00000220764.6_90001456_90017161_144	12.3815986578044	-12.3758244523269
ENST00000221504.12_13116344_13116505_162	16.5533382294902	-10.2313431275575
ENST00000222120.7_11337442_11339620_171	16.799316145221	-10.2959879487275
ENST00000222388.6_151226379_151226471_93	12.9695489577999	-11.4162212810308
ENST00000227524.8_60906376_60906573_198	21.2513229063329	-12.4419014614241
ENST00000227524.8_60906393_60906524_132	20.1211752764205	-12.4419014614241
ENST00000228307.11_120224195_120265640_207	24.8053853131177	-13.2292507249395
ENST00000228307.11_120224203_120265654_213	24.7660900138232	-13.2292507249395
ENST00000229195.7_70243289_70278188_249	17.4809576063801	-10.6841825167418
ENST00000229214.8_75511551_75511610_60	30.0	-23.7495972256084
ENST00000229416.10_53544721_53545122_402	15.9985300789401	-10.4745344445264
ENST00000231572.7_168486446_168488620_117	14.07431804174	-12.4514643974093
ENST00000231790.6_36993489_36993593_105	17.1733960368932	-10.8462692647314
ENST00000232165.7_25438745_25438990_246	21.2827230004579	-23.9056099521502
ENST00000232165.7_25438759_25439055_297	21.3353818406884	-23.9056099521502
ENST00000232165.7_25438956_25439051_96	21.1772794957002	-23.9056099521502
ENST00000234111.8_10445032_10445247_111	30.0	-13.0188110470985
ENST00000234111.8_10448125_10448283_159	20.5343515869146	-13.0188110470985
ENST00000234170.9_37231504_37231581_78	18.5080158150352	-11.1082027274571
ENST00000234831.9_54053367_54053438_72	17.9355368793766	-12.032523516605
ENST00000235790.8_202773123_202773284_162	11.098513737011	-11.8746275179976
ENST00000237853.8_95961726_95961824_99	16.5468395844787	-9.6672274373027
ENST00000238616.9_75126827_75126958_132	11.6465181291108	-11.1617541709973
ENST00000238633.6_74484578_74493281_207	11.2693133439539	-11.5634950926333
ENST00000238855.11_64551449_64551520_72	16.3677509774915	-10.9477661688495
ENST00000238856.8_64551449_64551520_72	16.3677509774915	-10.9439551606901
ENST00000239690.8_109334040_109334180_141	13.3393749032992	-11.8957327984834
ENST00000240333.10_49707826_49708197_372	17.1764217281236	-10.9770084266393
ENST00000240333.10_49708053_49708148_96	16.0501067236359	-10.9770084266393
ENST00000241052.4_34438937_34449204_156	13.004134500759	-11.4942069636516
ENST00000242728.4_26124908_26125000_93	16.3460566058311	-9.70008700751674
ENST00000245441.9_50821939_50822070_132	23.0333985410985	-25.0871052627121
ENST00000245857.9_38853055_38853373_123	10.3981497022181	-11.7992737294371
ENST00000247843.6_69359902_69360018_117	15.6868050840769	-10.3607115230839
ENST00000247866.8_140696689_140696754_66	18.565993160158	-12.0059541358879
ENST00000248600.5_76047848_76047979_132	17.1892029191941	-10.3687681446264
ENST00000251849.8_12618657_12664051_330	17.3199264022616	-10.5157661384958
ENST00000253003.6_62302918_62303690_255	12.2342833785104	-12.0970534251989
ENST00000253099.10_10252057_10252221_165	15.937127262959	-11.1979777722237
ENST00000254301.13_55129088_55138049_240	14.0095818725413	-12.8988652993989
ENST00000255006.10_19886651_19889654_219	18.7784534210912	-12.1519349727821
ENST00000256682.8_48940083_48957532_489	30.0	-11.578378681066
ENST00000256682.8_48957325_48957450_126	17.5068281320448	-11.578378681066
ENST00000256682.8_48957399_48957518_120	18.6488371046872	-11.578378681066
ENST00000257694.12_108521489_108526106_111	16.7447926992834	-10.3275282199027
ENST00000257694.12_108526052_108526165_114	16.1225667164605	-10.3275282199027
ENST00000257934.8_53268305_53268822_141	16.8414703336291	-10.4184577439012
ENST00000258149.9_68808189_68808422_234	16.3043692742755	-9.87387317014863
ENST00000258149.9_68808205_68808288_84	16.3043692742755	-9.87387317014863
ENST00000258149.9_68808209_68808442_234	16.0119647798915	-9.87387317014863
ENST00000258886.12_78438208_78439804_159	15.8931631457335	-10.4452663818479
ENST00000259008.6_61861569_61863504_222	16.483571885089	-11.3752220328796
ENST00000259021.8_49788734_49792015_246	11.7627405987802	-11.3634120853454
ENST00000259253.10_128091341_128091409_69	17.3602587746538	-11.8850768346365
ENST00000260327.8_44427456_44427662_207	12.2361489996404	-10.9026928502734
ENST00000260361.8_41402219_41402323_105	15.7405737245966	-9.44067228446519
ENST00000260506.12_93448185_93499508_162	15.9929348933379	-10.199391671497
ENST00000260563.4_100266254_100266536_180	16.4203414591258	-9.40146679526277
ENST00000260746.5_102705465_102714394_147	16.2974363768293	-9.49815276669881
ENST00000260753.8_89701611_89705376_153	16.8618955681221	-11.3096890554189
ENST00000261023.7_186590100_186590210_111	14.879342929837	-10.9625707149155
ENST00000261191.11_26936790_26938160_390	19.5754197224153	-11.5443518677446
ENST00000261191.11_26938167_26938298_132	13.3699154040782	-11.5443518677446
ENST00000261191.11_26938180_26938311_132	16.6757754017726	-11.5443518677446
ENST00000261247.13_59484453_59484551_99	25.8972300056201	-24.8495823623182
ENST00000261247.13_59484458_59484556_99	25.7776838796364	-24.8495823623182
ENST00000261247.13_59484475_59486767_174	30.0	-24.8495823623182
ENST00000261413.9_72314158_72320249_102	12.6036354880307	-11.0800637166672
ENST00000261483.4_109689564_109689899_336	16.3745782537127	-12.1158901058237
ENST00000261483.4_109690263_109690418_156	12.4658900785494	-12.1158901058237
ENST00000261530.11_76151958_76154385_66	15.9805813169486	-10.2284614731692
ENST00000261597.8_2571523_2571618_96	14.4736033877476	-12.5169520072063
ENST00000261597.8_2571625_2572980_63	14.2617643999395	-12.5169520072063
ENST00000261636.12_101405934_101407731_138	30.0	-11.8690220025073
ENST00000261637.4_101280222_101281129_120	18.4392625938815	-12.0692379649494
ENST00000261755.9_80152810_80159856_354	16.9165492342473	-9.75516663354215
ENST00000261973.11_73058461_73071636_255	21.2409460758326	-12.9074613713297
ENST00000262127.6_12701100_12702576_105	30.0	-9.17984657584081
ENST00000262173.7_13731475_13731546_72	19.0383698793245	-11.3333086765853
ENST00000262173.7_13731498_13731581_84	14.1928375721848	-11.3333086765853
ENST00000262198.8_80109047_80117568_465	12.6862393163396	-10.4761607046553
ENST00000262348.8_68232372_68232539_168	16.4686013565082	-11.2437466539808
ENST00000262498.7_58129159_58129308_150	16.2842761917963	-9.37815014740714
ENST00000262544.6_18507650_18507799_150	17.5762070608793	-11.9854384745812
ENST00000262544.6_18508008_18510867_69	12.1318210076674	-11.9854384745812
ENST00000262584.7_144792062_144792451_165	30.0	-15.0001837339522
ENST00000262650.10_34363321_34369433_69	19.092317783145	-12.0028387545492
ENST00000262713.6_22982392_22982466_75	15.8361225246548	-9.95146870827124
ENST00000262879.10_38472849_38472998_150	17.4023467215869	-11.6693180422913
ENST00000262879.10_38472875_38472967_93	16.8122289460966	-11.6693180422913
ENST00000262879.10_38472961_38488422_129	16.2909639279115	-11.6693180422913
ENST00000262879.10_38473008_38488463_123	16.6584948678928	-11.6693180422913
ENST00000262960.13_4719917_4723709_114	12.4278357070941	-11.5269423483425
ENST00000262960.13_4722505_4723803_177	19.3732804983264	-11.5269423483425
ENST00000262960.13_4723731_4723853_123	17.7134814499423	-11.5269423483425
ENST00000262975.8_47310079_47347885_156	16.4136441834924	-10.9612995959155
ENST00000262975.8_47347910_47356679_111	15.8123546851216	-10.9612995959155
ENST00000263239.6_117814661_117814732_72	18.4347318062746	-11.2561450522643
ENST00000263239.6_117814728_117814793_66	18.3050561095309	-11.2561450522643
ENST00000263461.10_120851297_120852574_261	11.7693868667532	-10.857240771545
ENST00000263552.10_139778249_139780807_291	17.4340604042588	-10.7095247067281
ENST00000263552.10_139778275_139782683_300	16.561731983442	-10.7095247067281
ENST00000263552.10_139778328_139780799_204	16.4532176289482	-10.7095247067281
ENST00000263552.10_139787405_139829388_99	16.561731983442	-10.7095247067281
ENST00000263688.3_172533227_172533289_63	30.0	-24.5925537588503
ENST00000263688.3_172533252_172533320_69	23.6263458916736	-24.5925537588503
ENST00000263688.3_172533365_172533436_72	21.5273980388036	-24.5925537588503
ENST00000263736.4_45605393_45611271_102	16.1401183640833	-10.3856712575589
ENST00000263753.8_20184009_20186185_153	15.855093098672	-9.78578323165954
ENST00000263791.9_39934161_39939529_204	17.5086641772154	-11.0101083667632
ENST00000263791.9_39934165_39939518_189	17.5086641772154	-11.0101083667632
ENST00000263847.5_59615649_59615717_69	16.7326275396581	-11.9267588216539
ENST00000263881.7_39378113_39437012_132	11.5944209875667	-10.7124495124467
ENST00000264001.8_66552571_66552720_150	17.5646911008134	-9.52251679890869
ENST00000264052.9_230416092_230417599_246	16.64196316405	-10.7898690355842
ENST00000264107.11_172427595_172427885_291	13.2767611504837	-13.6456074892375
ENST00000264161.8_135983421_135985572_204	19.4639683569699	-12.1550867654269
ENST00000264198.4_20503305_20508124_225	15.856063755537	-9.89765527619104
ENST00000264221.6_56435763_56435828_66	17.8803891068839	-13.4207941817184
ENST00000264221.6_56435768_56435833_66	17.8803891068839	-13.4207941817184
